nse_symbol,yfinance_symbol
ADANIPORTS,ADANIPORTS.NS
APOLLOHOSP,APOLLOHOSP.NS
ASIANPAINT,ASIANPAINT.NS
AXISBANK,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BEL,BEL.NS
BHARTIARTL,BHARTIARTL.NS
CIPLA,CIPLA.NS
COALINDIA,COALINDIA.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
ETERNAL,ETERNAL.NS
GRASIM,GRASIM.NS
HCLTECH,HCLTECH.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HEROMOTOCO,HEROMOTOCO.NS
HINDALCO,HINDALCO.NS
HINDUNILVR,HINDUNILVR.NS
ICICIBANK,ICICIBANK.NS
ITC,ITC.NS
INDUSINDBK,INDUSINDBK.NS
INFY,INFY.NS
JSWSTEEL,JSWSTEEL.NS
JIOFIN,JIOFIN.NS
KOTAKBANK,KOTAKBANK.NS
LT,LT.NS
M&M,M&M.NS
MARUTI,MARUTI.NS
NTPC,NTPC.NS
NESTLEIND,NESTLEIND.NS
ONGC,ONGC.NS
POWERGRID,POWERGRID.NS
RELIANCE,RELIANCE.NS
SBILIFE,SBILIFE.NS
SHRIRAMFIN,SHRIRAMFIN.NS
SBIN,SBIN.NS
SUNPHARMA,SUNPHARMA.NS
TCS,TCS.NS
TATACONSUM,TATACONSUM.NS
TATAMOTORS,TATAMOTORS.NS
TATASTEEL,TATASTEEL.NS
TECHM,TECHM.NS
TITAN,TITAN.NS
TRENT,TRENT.NS
ULTRACEMCO,ULTRACEMCO.NS
WIPRO,WIPRO.NS
ABB,ABB.NS
ADANIENSOL,ADANIENSOL.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPOWER,ADANIPOWER.NS
AMBUJACEM,AMBUJACEM.NS
DMART,DMART.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAJAJHFL,BAJAJHFL.NS
BANKBARODA,BANKBARODA.NS
BPCL,BPCL.NS
BOSCHLTD,BOSCHLTD.NS
BRITANNIA,BRITANNIA.NS
CGPOWER,CGPOWER.NS
CANBK,CANBK.NS
CHOLAFIN,CHOLAFIN.NS
DLF,DLF.NS
DABUR,DABUR.NS
DIVISLAB,DIVISLAB.NS
GAIL,GAIL.NS
GODREJCP,GODREJCP.NS
HAVELLS,HAVELLS.NS
HAL,HAL.NS
HYUNDAI,HYUNDAI.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
INDHOTEL,INDHOTEL.NS
IOC,IOC.NS
IRFC,IRFC.NS
NAUKRI,NAUKRI.NS
INDIGO,INDIGO.NS
JSWENERGY,JSWENERGY.NS
JINDALSTEL,JINDALSTEL.NS
LTIM,LTIM.NS
LICI,LICI.NS
LODHA,LODHA.NS
PIDILITIND,PIDILITIND.NS
PFC,PFC.NS
PNB,PNB.NS
RECLTD,RECLTD.NS
MOTHERSON,MOTHERSON.NS
SHREECEM,SHREECEM.NS
SIEMENS,SIEMENS.NS
SWIGGY,SWIGGY.NS
